composite_risk,Cluster,County,State
1.7783949968291755,1,Buffalo,SD
1.7688382569627843,1,Fairfield,SC
1.6622143613766738,1,Barbour,AL
1.6595634934585026,1,Lee,SC
1.6469654561805418,1,Williamsburg,SC
1.6072125226019278,1,Jasper,MS
1.5979908770090212,1,Kemper,MS
1.5792457425572746,1,Choctaw,AL
1.5768584527453295,1,Tallahatchie,MS
1.5602364727770166,1,Wilkinson,MS
1.5424788167075634,1,Clarendon,SC
1.542433384905662,1,Yalobusha,MS
1.5369002298772403,1,Bamberg,SC
1.5275589811648203,1,Breathitt,KY
1.5098920804244298,1,Quitman,MS
1.5050166518548216,1,Jefferson,MS
1.4880732922821056,1,St. Helena,LA
1.4854889575737495,1,Coosa,AL
1.4797298321767478,1,Sharkey,MS
1.4625076809628326,1,McDowell,WV
1.4369412063574445,1,Amite,MS
1.42677032553156,1,Washington,AL
1.4191884817467044,1,McNairy,TN
1.4089075072535908,1,Butler,AL
1.4048308748211134,1,Issaquena,MS
1.4047436206606367,1,Leflore,MS
1.3948532587287983,1,Hampton,SC
1.3875874320522625,1,St. Francis,AR
1.385308106359003,1,East Feliciana,LA
1.383726710795835,1,Bullock,AL
1.3834675856804313,1,Dewey,SD
1.3807920270728822,1,Walthall,MS
1.3749211820418072,1,Marion,SC
1.3734293716292847,1,Marshall,MS
1.368822962868564,1,Jefferson Davis,MS
1.360763132776768,1,Noxubee,MS
1.3587986187514243,1,Edgecombe,NC
1.3583323422252447,1,Logan,WV
1.357121463878811,1,Chicot,AR
1.3526842447150471,1,Pike,KY
1.3448102666417296,1,East Carroll,LA
1.3357364367814688,1,Northampton,NC
1.3345424369538965,1,Jefferson,AR
1.328880637391172,1,Dallas,AL
1.3255596521576616,1,Humphreys,MS
1.3128467300721127,1,Talladega,AL
1.312518796185806,1,Leslie,KY
1.3060461162271122,1,Tensas,LA
1.303593383911452,1,Crittenden,AR
1.2992216790107758,1,Bienville,LA
1.2981599752526538,1,Todd,SD
1.2954582086578859,1,Orangeburg,SC
1.2946071864544166,1,Montgomery,MS
1.2926190260741934,1,Randolph,GA
1.2908961491125146,1,Dillon,SC
1.2885292746609311,1,Lawrence,KY
1.2850480883566078,1,Marlboro,SC
1.2836552458543693,1,Tunica,MS
1.2772749883166579,1,Robeson,NC
1.2682046132221654,1,Lincoln,WV
1.2670046502761039,1,Yazoo,MS
1.2640525006299443,1,Corson,SD
1.2633402082038052,1,Knott,KY
1.2607789508000395,1,Morehouse,LA
1.2600916458950153,1,Wyoming,WV
1.2584204930360257,1,Red River,LA
1.255952768724573,1,Quitman,GA
1.249483068793463,1,Menominee,WI
1.2476209569655088,1,Calhoun,SC
1.2455883596368356,1,Adams,MS
1.2454047306965315,1,Haskell,OK
1.2412587398305195,1,Benton,MS
1.2316147948529157,1,Conecuh,AL
1.2280739275974444,1,Warren,NC
1.2276090353863824,1,Pike,MS
1.2203110480438257,1,Franklin,MS
1.2074407020342317,1,Coahoma,MS
1.1960610027471321,1,Copiah,MS
1.1946116129088007,1,Hancock,GA
1.1940992934080927,1,Pickens,AL
1.1901281638548276,1,Tate,MS
1.1876324195959158,1,Jasper,SC
1.186765214190565,1,McCormick,SC
1.1848724359097786,1,Barnwell,SC
1.1808513399325753,1,Leake,MS
1.1800519955520354,1,Carroll,MS
1.177227155537232,1,Marengo,AL
1.1759315789710822,1,Haywood,TN
1.1755172044811935,1,Jefferson,GA
1.174420217786297,1,Crenshaw,AL
1.1706930465771261,1,Lawrence,MS
1.1676651174982386,1,Brooke,WV
1.166399649092737,1,Gadsden,FL
1.165548164170699,1,Thurston,NE
1.1631570771751505,1,Jones,MS
1.1535202199513748,1,Halifax,NC
1.1488295584061643,1,Boyd,KY
1.1449495254660256,1,Sabine,LA
1.1447522331844944,1,Wayne,MS
1.141822063451001,1,Washington,LA
1.141734435629388,1,Winston,MS
1.1407401444795806,1,Dooly,GA
1.139716599543861,1,Washington,MS
1.1369465918610153,1,Laurel,KY
1.1368154583259529,1,Charles City,VA
1.133058142079132,1,Desha,AR
1.1294271390532027,1,Talbot,GA
1.1272462633784206,1,Clay,WV
1.120964113103162,1,St. John the Baptist,LA
1.1173049743326497,1,Chickasaw,MS
1.1160104939729965,1,Tallapoosa,AL
1.1154141867991965,1,Nicholas,WV
1.1122408747742871,1,Macon,AL
1.110030467153287,1,Ottawa,OK
1.1083825035742774,1,Chambers,AL
1.108169072523673,1,Adair,OK
1.103115859445486,1,Laurens,SC
1.1018719560797368,1,Monroe,AL
1.1010814176479975,1,Madison,LA
1.1003971917347692,1,Panola,MS
1.0999370211723196,1,Knox,KY
1.092945137636693,1,Clay,MS
1.0887026161655724,1,Boone,WV
1.086763140753223,1,Grant,WV
1.0845525391319764,1,Dallas,AR
1.0781292318122409,1,Greenup,KY
1.0765578266075548,1,Wirt,WV
1.0750537806553813,1,McLean,KY
1.0723651257304767,1,Somerset,MD
1.0705168725805978,1,Escambia,AL
1.0699789344117532,1,Perry,KY
1.068951390312668,1,Lee,AR
1.0670710602353657,1,Clarke,AL
1.0666521253360852,1,Johnson,KY
1.0659046020033662,1,Summers,WV
1.0655766937410294,1,Warren,GA
1.0602626666607002,1,Calhoun,FL
1.060077607856187,1,Webster,LA
1.0589053306479124,1,Choctaw,OK
1.057937562754681,1,Powell,KY
1.0541831808873658,1,Scott,MS
1.0513575819499288,1,Martin,NC
1.0429392659078631,1,Ashley,AR
1.0419036248320965,1,Lawrence,OH
1.0408805210010361,1,Russell,AL
1.0379866454710724,1,Calhoun,GA
1.0370265757157837,1,Ohio,KY
